ICAO,Name,Country,Latitude,Longitude
YUTP,Utopia Airport,Australia,-22.05500031,134.7899933
YNRR,Nyrripi Airport,Australia,-22.64529991,130.5650024
YAMT,Amata Airport,Australia,-26.10829926,131.2070007
NZGH,Glacier Country Heliport,New Zealand,-43.38722,170.18
YERL,Erldunda Airport,Australia,-25.2057991,133.2539978
SSHH,Helisul I Heliport,Brazil,-25.60416794,-54.49361038
YFNE,Finke Airport,Australia,-25.59469986,134.5829926
SBJA,Humberto Ghizzo Bortoluzzi Regional Airport,Brazil,-28.6753,-49.0596
YNYP,Nypari Airport,Australia,-26.20000076,130.2330017
LBHT,Ihtiman Airfield,Bulgaria,42.42189,23.767221
EDNV,Vogtareuth Airport,Germany,47.94610977,12.2047224
XXXX,[Duplicate] Illertissen see EDMI - ED-0425 location moved out-of-the way,New Zealand,89.5,0.0001
KEVB,New Smyrna Beach Municipal Airport,United States,29.0557003,-80.94889832
NV03,Las Vegas Helicopters Heliport,United States,36.10810089,-115.1740036
FBDT,Delta Camp Airport,Botswana,-19.5323,23.0925
FVWT,Hwange (Town) Airport,Zimbabwe,-18.362967,26.519791
CBC7,Harbour (Public) Heliport,Canada,49.28689211,-123.1061123
CBF7,Victoria Harbour (Camel Point) Heliport,Canada,48.41809845,-123.3880005
UNAU,Shushenskoye Airport,Russia,53.38499832,92.04499817
LOAU,Stockerau Airport,Austria,48.40999985,16.19169998
EYKL,Klaipėda Airport,Lithuania,55.7118988,21.24279976
KMRJ,Iowa County Airport,United States,42.886799,-90.236198
KETB,West Bend Municipal Airport,United States,43.42219925,-88.12789917
KGLR,Gaylord Regional Airport,United States,45.01350021,-84.70359802
KAID,Anderson Municipal Darlington Field,United States,40.10860062,-85.61299896
LYNS,Cenej Airport,Serbia,45.385799,19.839199
BIGF,Grundarfjörður Airport,Iceland,64.99140167,-23.22470093
KPDC,Prairie Du Chien Municipal Airport,United States,43.01929855,-91.123703
WA98,Cascade Heliport,Indonesia,47.512346,-120.488691
2FD7,Air Orlando Heliport,United States,28.43560028,-81.47309875
EKTB,Tórshavn/Bodanes Heliport,Faroe Islands,62.02170181,-6.757420063
FYOW,Otjiwarongo Airport,Namibia,-20.43470001,16.66080093
EGOQ,RAF Mona,United Kingdom,53.258598,-4.37355
EDCR,Rerik-Zweedorf Airport,Germany,54.08194351,11.64916706
SSVV,Fazenda Vaticano Airport,Brazil,-21.294443,-56.11861
KVUJ,Stanly County Airport,United States,35.41669846,-80.15080261
KEXX,Davidson County Airport,United States,35.78110123,-80.30380249
WV62,Windwood Fly-In Resort Airport,United States,39.05509949,-79.43139648
5NC2,Lathan Strip,United States,34.87630081,-80.61920166
KAEG,Double Eagle II Airport,United States,35.14519882,-106.7949982
KONM,Socorro Municipal Airport,United States,34.02249908,-106.9029999
KVBT,Bentonville Municipal-Louise M Thaden Field,United States,36.34569931,-94.21929932
KMTV,Blue Ridge Airport,United States,36.63069916,-80.01830292
KMWK,Mount Airy Surry County Airport,United States,36.45970154,-80.5530014
KSKX,Taos Regional Airport,United States,36.45819855,-105.6719971
KRTN,Raton Municipal-Crews Field,United States,36.74150085,-104.5019989
